what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1494360633240
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1494360633319
started,bundle,org.eclipse.uml2.diagram.common,0.9.0.v200906190654,"org.eclipse.uml2.diagram.common",1494360633397
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1494360633569
started,bundle,org.eclipse.uml2.uml,3.0.1.v200908281330,"org.eclipse.uml2.uml",1494360633600
started,bundle,org.eclipse.emf.validation,1.3.0.v200901271722,"org.eclipse.emf.validation",1494360634725
started,bundle,org.eclipse.emf.mapping.ecore2xml,2.5.0.v200906151043,"org.eclipse.emf.mapping.ecore2xml",1494360635209
started,bundle,org.eclipse.xtend.typesystem.uml2.ui,0.7.2.v200908120436,"org.eclipse.xtend.typesystem.uml2.ui",1494360635225
started,bundle,org.eclipse.xsd,2.5.0.v200906151043,"org.eclipse.xsd",1494360635444
started,bundle,org.eclipse.xtend.typesystem.xsd.ui,0.7.2.v200908120436,"org.eclipse.xtend.typesystem.xsd.ui",1494360635459
started,bundle,org.eclipse.xtend.shared.ui,0.7.2.v200908120436,"org.eclipse.xtend.shared.ui",1494360635459
started,bundle,org.eclipse.xtend.typesystem.emf.ui,0.7.2.v200908120436,"org.eclipse.xtend.typesystem.emf.ui",1494360635475
started,bundle,org.eclipse.gef,3.5.1.v20090910-2020,"org.eclipse.gef",1494360646614
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.0.I20090429-1800,"org.eclipse.ui.views.properties.tabbed",1494360646614
started,bundle,org.eclipse.emf.transaction,1.3.0.v200902010221,"org.eclipse.emf.transaction",1494360646661
started,bundle,org.eclipse.gmf.runtime.diagram.ui,1.3.0.v20100209-2200,"org.eclipse.gmf.runtime.diagram.ui",1494360646661
started,bundle,org.eclipse.gmf.runtime.diagram.ui.resources.editor,1.3.0.v20100113-1121,"org.eclipse.gmf.runtime.diagram.ui.resources.editor",1494360646661
started,bundle,org.eclipse.gmf.runtime.common.core,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.common.core",1494360646708
started,bundle,org.eclipse.gmf.runtime.common.ui,1.2.1.v20090729-2029,"org.eclipse.gmf.runtime.common.ui",1494360646726
started,bundle,org.eclipse.gmf.runtime.notation,1.2.0.v20091021-2333,"org.eclipse.gmf.runtime.notation",1494360646746
started,bundle,org.eclipse.gmf.runtime.gef.ui,1.2.0.v20090520-1343,"org.eclipse.gmf.runtime.gef.ui",1494360646808
started,bundle,org.eclipse.draw2d,3.5.2.v20091126-1908,"org.eclipse.draw2d",1494360646917
started,bundle,org.eclipse.gmf.runtime.common.ui.services.action,1.3.0.v20091021-2333,"org.eclipse.gmf.runtime.common.ui.services.action",1494360646949
